Tumor_Sample_Barcode	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total
TCGA-GS-A9TZ-01A-11D-A38X-10	296	21	0	9	2	328
TCGA-FF-8042-01A-11D-2210-10	199	11	0	3	1	214
TCGA-GS-A9TW-01A-11D-A382-10	179	13	0	4	0	196
TCGA-GS-A9TT-01A-11D-A382-10	158	14	0	3	1	176
TCGA-FF-A7CR-01A-11D-A382-10	153	7	0	4	2	166
TCGA-RQ-A68N-01A-11D-A31X-10	143	11	0	4	1	159
TCGA-RQ-AAAT-01A-11D-A38X-10	136	4	0	9	1	150
TCGA-FF-8041-01A-11D-2210-10	132	8	1	3	1	145
TCGA-FA-A7Q1-01A-11D-A382-10	125	11	1	4	0	141
TCGA-FA-A82F-01A-11D-A382-10	123	10	0	2	0	135
TCGA-VB-A8QN-01A-11D-A382-10	109	16	0	5	0	130
TCGA-FA-A6HN-01A-11D-A31X-10	122	6	0	1	0	129
TCGA-FA-8693-01A-11D-2397-10	113	6	0	5	4	128
TCGA-GS-A9TY-01A-11D-A38X-10	118	6	0	0	1	125
TCGA-FF-8061-01A-11D-2210-10	109	7	0	0	0	116
TCGA-FF-A7CQ-01A-11D-A382-10	98	10	0	4	0	112
TCGA-GS-A9TQ-01A-11D-A382-10	90	8	0	4	0	102
TCGA-FF-A7CX-01A-12D-A382-10	89	6	0	3	0	98
TCGA-FA-A7DS-01A-11D-A382-10	83	4	0	2	0	89
TCGA-FF-8047-01A-11D-2210-10	78	7	0	2	2	89
TCGA-FF-8043-01A-11D-2210-10	76	4	0	1	0	81
TCGA-RQ-A6JB-01A-11D-A31X-10	76	2	1	1	0	80
TCGA-FA-A4XK-01A-11D-A31X-10	72	3	1	2	0	78
TCGA-GR-A4D4-01A-11D-A31X-10	67	3	0	4	0	74
TCGA-GR-A4D9-01B-11D-A31X-10	56	2	0	2	0	60
TCGA-FF-8046-01A-11D-2210-10	48	3	0	3	0	54
TCGA-GS-A9U3-01A-11D-A38X-10	48	3	0	0	0	51
TCGA-GS-A9TU-01A-11D-A382-10	44	3	0	0	0	47
TCGA-FA-A4BB-01A-11D-A31X-10	41	4	0	1	0	46
TCGA-FF-A7CW-01A-11D-A382-10	36	3	0	1	1	41
TCGA-FA-A86F-01A-11D-A382-10	35	3	1	1	0	40
TCGA-FA-A6HO-01A-11D-A31X-10	26	5	0	0	0	31
TCGA-GR-A4D6-01A-11D-A31X-10	27	2	0	1	0	30
TCGA-GS-A9TV-01A-11D-A382-10	24	2	0	0	0	26
TCGA-GR-A4D5-01A-11D-A31X-10	18	1	0	1	0	20
TCGA-GS-A9TX-01A-11D-A382-10	18	1	0	0	0	19
TCGA-GS-A9U4-01A-11D-A38X-10	7	1	0	0	0	8
