Hugo_Symbol	Amp	Del	total	AlteredSamples
CTAGE15	0	46	46	23
MIR4461	0	36	36	18
SHPK	0	30	30	15
ABCB8	0	23	23	23
ABCF2	0	23	23	23
ACTR3B	0	23	23	23
ACTR3C	0	23	23	23
ADCK2	0	23	23	23
AGAP3	0	23	23	23
AGBL3	0	23	23	23
AGK	0	23	23	23
AHCYL2	0	23	23	23
AKR1B1	0	23	23	23
AKR1B10	0	23	23	23
AKR1B15	0	23	23	23
AKR1D1	0	23	23	23
AOC1	0	23	23	23
ARF5	0	23	23	23
ARHGEF35	0	23	23	23
ARHGEF5	0	23	23	23
ASB10	0	23	23	23
ASIC3	0	23	23	23
ATG9B	0	23	23	23
ATP6V0A4	0	23	23	23
ATP6V0E2	0	23	23	23
ATP6V1F	0	23	23	23
BLACE	0	23	23	23
BPGM	0	23	23	23
BRAF	0	23	23	23
C7orf13	0	23	23	23
C7orf33	0	23	23	23
C7orf34	0	23	23	23
C7orf49	0	23	23	23
C7orf55	0	23	23	23
C7orf73	0	23	23	23
CALD1	0	23	23	23
CALU	0	23	23	23
CASP2	0	23	23	23
CCDC136	0	23	23	23
CDK5	0	23	23	23
CEP41	0	23	23	23
CHCHD3	0	23	23	23
CHPF2	0	23	23	23
CHRM2	0	23	23	23
CLCN1	0	23	23	23
CLEC2L	0	23	23	23
CLEC5A	0	23	23	23
CNOT4	0	23	23	23
CNPY1	0	23	23	23
CNTNAP2	0	23	23	23
COPG2	0	23	23	23
CPA1	0	23	23	23
CPA2	0	23	23	23
CPA4	0	23	23	23
CPA5	0	23	23	23
CREB3L2	0	23	23	23
CRYGN	0	23	23	23
CTAGE4	0	23	23	23
CTAGE6	0	23	23	23
CTAGE8	0	23	23	23
CUL1	0	23	23	23
DENND2A	0	23	23	23
DGKI	0	23	23	23
DNAJB6	0	23	23	23
DPP6	0	23	23	23
EN2	0	23	23	23
EPHA1	0	23	23	23
EPHB6	0	23	23	23
ESYT2	0	23	23	23
EXOC4	0	23	23	23
EZH2	0	23	23	23
FABP5P3	0	23	23	23
FAM115A	0	23	23	23
FAM115C	0	23	23	23
FAM131B	0	23	23	23
FAM180A	0	23	23	23
FAM71F1	0	23	23	23
FAM71F2	0	23	23	23
FASTK	0	23	23	23
FLNC	0	23	23	23
FSCN3	0	23	23	23
GALNT11	0	23	23	23
GALNTL5	0	23	23	23
GBX1	0	23	23	23
GCC1	0	23	23	23
GIMAP1	0	23	23	23
GIMAP2	0	23	23	23
GIMAP4	0	23	23	23
GIMAP5	0	23	23	23
GIMAP6	0	23	23	23
GIMAP7	0	23	23	23
GIMAP8	0	23	23	23
GRM8	0	23	23	23
GSTK1	0	23	23	23
HILPDA	0	23	23	23
HIPK2	0	23	23	23
HTR5A	0	23	23	23
IMPDH1	0	23	23	23
INSIG1	0	23	23	23
IQCA1P1	0	23	23	23
IRF5	0	23	23	23
JHDM1D	0	23	23	23
KCNH2	0	23	23	23
KCP	0	23	23	23
KEL	0	23	23	23
KIAA1147	0	23	23	23
KIAA1549	0	23	23	23
KLF14	0	23	23	23
KLHDC10	0	23	23	23
KLRG2	0	23	23	23
KMT2C	0	23	23	23
KRBA1	0	23	23	23
LEP	0	23	23	23
LINC00689	0	23	23	23
LMBR1	0	23	23	23
LRGUK	0	23	23	23
LRRC4	0	23	23	23
LRRC61	0	23	23	23
LUC7L2	0	23	23	23
LUZP6	0	23	23	23
MEST	0	23	23	23
METTL2B	0	23	23	23
MGAM	0	23	23	23
MIR182	0	23	23	23
MIR183	0	23	23	23
MIR29A	0	23	23	23
MIR29B1	0	23	23	23
MIR335	0	23	23	23
MIR3907	0	23	23	23
MIR4468	0	23	23	23
MIR490	0	23	23	23
MIR548F4	0	23	23	23
MIR5707	0	23	23	23
MIR592	0	23	23	23
MIR593	0	23	23	23
MIR595	0	23	23	23
MIR671	0	23	23	23
MIR96	0	23	23	23
MKLN1	0	23	23	23
MKRN1	0	23	23	23
MNX1	0	23	23	23
MOXD2P	0	23	23	23
MRPS33	0	23	23	23
MTPN	0	23	23	23
MTRNR2L6	0	23	23	23
NCAPG2	0	23	23	23
NDUFB2	0	23	23	23
NOBOX	0	23	23	23
NOM1	0	23	23	23
NOS3	0	23	23	23
NRF1	0	23	23	23
NUB1	0	23	23	23
NUP205	0	23	23	23
OPN1SW	0	23	23	23
OR2A1	0	23	23	23
OR2A12	0	23	23	23
OR2A14	0	23	23	23
OR2A2	0	23	23	23
OR2A20P	0	23	23	23
OR2A25	0	23	23	23
OR2A42	0	23	23	23
OR2A5	0	23	23	23
OR2A7	0	23	23	23
OR2A9P	0	23	23	23
OR2F1	0	23	23	23
OR2F2	0	23	23	23
OR6B1	0	23	23	23
OR6V1	0	23	23	23
OR6W1P	0	23	23	23
OR9A1P	0	23	23	23
OR9A2	0	23	23	23
OR9A3P	0	23	23	23
OR9A4	0	23	23	23
PARP12	0	23	23	23
PAX4	0	23	23	23
PAXIP1	0	23	23	23
PDIA4	0	23	23	23
PIP	0	23	23	23
PLXNA4	0	23	23	23
PODXL	0	23	23	23
PRKAG2	0	23	23	23
PRRT4	0	23	23	23
PRSS1	0	23	23	23
PRSS37	0	23	23	23
PRSS3P2	0	23	23	23
PRSS3P3	0	23	23	23
PRSS58	0	23	23	23
PTN	0	23	23	23
PTPRN2	0	23	23	23
RAB19	0	23	23	23
RARRES2	0	23	23	23
RBM28	0	23	23	23
RBM33	0	23	23	23
REPIN1	0	23	23	23
RHEB	0	23	23	23
RN7SKP174	0	23	23	23
RN7SKP223	0	23	23	23
RN7SKP280	0	23	23	23
RN7SL142P	0	23	23	23
RN7SL207P	0	23	23	23
RN7SL306P	0	23	23	23
RN7SL456P	0	23	23	23
RN7SL481P	0	23	23	23
RN7SL521P	0	23	23	23
RN7SL535P	0	23	23	23
RN7SL569P	0	23	23	23
RN7SL72P	0	23	23	23
RN7SL76P	0	23	23	23
RN7SL771P	0	23	23	23
RN7SL811P	0	23	23	23
RN7SL81P	0	23	23	23
RN7SL845P	0	23	23	23
RNA5SP242	0	23	23	23
RNA5SP243	0	23	23	23
RNA5SP244	0	23	23	23
RNA5SP245	0	23	23	23
RNA5SP246	0	23	23	23
RNA5SP247	0	23	23	23
RNA5SP248	0	23	23	23
RNA5SP249	0	23	23	23
RNA5SP250	0	23	23	23
RNF32	0	23	23	23
RNU6ATAC40P	0	23	23	23
RNY1	0	23	23	23
RNY3	0	23	23	23
RNY4	0	23	23	23
RNY5	0	23	23	23
SHH	0	23	23	23
SLC13A4	0	23	23	23
SLC35B4	0	23	23	23
SLC37A3	0	23	23	23
SLC4A2	0	23	23	23
SMARCD3	0	23	23	23
SMKR1	0	23	23	23
SMO	0	23	23	23
SND1	0	23	23	23
SSBP1	0	23	23	23
SSMEM1	0	23	23	23
SSPO	0	23	23	23
STRA8	0	23	23	23
STRIP2	0	23	23	23
SVOPL	0	23	23	23
TAS2R3	0	23	23	23
TAS2R38	0	23	23	23
TAS2R39	0	23	23	23
TAS2R4	0	23	23	23
TAS2R40	0	23	23	23
TAS2R41	0	23	23	23
TAS2R5	0	23	23	23
TAS2R60	0	23	23	23
TBXAS1	0	23	23	23
TMEM139	0	23	23	23
TMEM140	0	23	23	23
TMEM176A	0	23	23	23
TMEM176B	0	23	23	23
TMEM178B	0	23	23	23
TMEM209	0	23	23	23
TMEM213	0	23	23	23
TMUB1	0	23	23	23
TNPO3	0	23	23	23
TPK1	0	23	23	23
TRBC2	0	23	23	23
TRBV19	0	23	23	23
TRBV2	0	23	23	23
TRBV27	0	23	23	23
TRBV28	0	23	23	23
TRBV30	0	23	23	23
TRBV9	0	23	23	23
TRIM24	0	23	23	23
TRPV5	0	23	23	23
TRPV6	0	23	23	23
TSGA13	0	23	23	23
TSPAN33	0	23	23	23
TTC26	0	23	23	23
UBE2H	0	23	23	23
UBE3C	0	23	23	23
UBN2	0	23	23	23
VIPR2	0	23	23	23
WDR60	0	23	23	23
WDR86	0	23	23	23
WDR91	0	23	23	23
WEE2	0	23	23	23
XRCC2	0	23	23	23
ZBED6CL	0	23	23	23
ZC3HAV1	0	23	23	23
ZC3HAV1L	0	23	23	23
ZC3HC1	0	23	23	23
ZNF212	0	23	23	23
ZNF282	0	23	23	23
ZNF398	0	23	23	23
ZNF425	0	23	23	23
ZNF467	0	23	23	23
ZNF746	0	23	23	23
ZNF767	0	23	23	23
ZNF775	0	23	23	23
ZNF777	0	23	23	23
ZNF783	0	23	23	23
ZNF786	0	23	23	23
ZNF800	0	23	23	23
ZNF862	0	23	23	23
ZYX	0	23	23	23
ABLIM3	0	18	18	18
ACSL6	0	18	18	18
ADAMTS19	0	18	18	18
ADRB2	0	18	18	18
AFAP1L1	0	18	18	18
AFF4	0	18	18	18
ALDH7A1	0	18	18	18
ANKHD1	0	18	18	18
ANXA6	0	18	18	18
AP3S1	0	18	18	18
APBB3	0	18	18	18
AQPEP	0	18	18	18
ARAP3	0	18	18	18
ARHGAP26	0	18	18	18
ARHGEF37	0	18	18	18
ARL14EPL	0	18	18	18
ARSI	0	18	18	18
ATG12	0	18	18	18
ATOX1	0	18	18	18
BRD8	0	18	18	18
C5orf15	0	18	18	18
C5orf20	0	18	18	18
C5orf24	0	18	18	18
C5orf46	0	18	18	18
C5orf48	0	18	18	18
C5orf56	0	18	18	18
C5orf63	0	18	18	18
CAMK2A	0	18	18	18
CAMLG	0	18	18	18
CATSPER3	0	18	18	18
CCDC112	0	18	18	18
CCDC69	0	18	18	18
CCNI2	0	18	18	18
CD14	0	18	18	18
CD74	0	18	18	18
CDC23	0	18	18	18
CDC25C	0	18	18	18
CDC42SE2	0	18	18	18
CDKL3	0	18	18	18
CDKN2AIPNL	0	18	18	18
CDO1	0	18	18	18
CDX1	0	18	18	18
CEP120	0	18	18	18
CHSY3	0	18	18	18
CHTF8	0	18	18	9
CNOT8	0	18	18	18
COMMD10	0	18	18	18
CSF1R	0	18	18	18
CSF2	0	18	18	18
CSNK1A1	0	18	18	18
CSNK1G3	0	18	18	18
CTNNA1	0	18	18	18
CTXN3	0	18	18	18
CXCL14	0	18	18	18
CXXC5	0	18	18	18
CYSTM1	0	18	18	18
DCTN4	0	18	18	18
DDX46	0	18	18	18
DIAPH1	0	18	18	18
DMXL1	0	18	18	18
DNAJC18	0	18	18	18
DND1	0	18	18	18
DPYSL3	0	18	18	18
DTWD2	0	18	18	18
ECSCR	0	18	18	18
EGR1	0	18	18	18
EIF4EBP3	0	18	18	18
ETF1	0	18	18	18
FAM114A2	0	18	18	18
FAM13B	0	18	18	18
FAM170A	0	18	18	18
FAM53C	0	18	18	18
FAT2	0	18	18	18
FAXDC2	0	18	18	18
FBN2	0	18	18	18
FBXL21	0	18	18	18
FBXO38	0	18	18	18
FCHSD1	0	18	18	18
FEM1C	0	18	18	18
FGF1	0	18	18	18
FNIP1	0	18	18	18
FSTL4	0	18	18	18
FTMT	0	18	18	18
G3BP1	0	18	18	18
GALNT10	0	18	18	18
GDF9	0	18	18	18
GEMIN5	0	18	18	18
GFRA3	0	18	18	18
GLRA1	0	18	18	18
GM2A	0	18	18	18
GNPDA1	0	18	18	18
GPR151	0	18	18	18
GPX3	0	18	18	18
GRAMD3	0	18	18	18
GRIA1	0	18	18	18
GRPEL2	0	18	18	18
GRXCR2	0	18	18	18
H2AFY	0	18	18	18
HAND1	0	18	18	18
HARS	0	18	18	18
HARS2	0	18	18	18
HBEGF	0	18	18	18
HDAC3	0	18	18	18
HINT1	0	18	18	18
HMGXB3	0	18	18	18
HMHB1	0	18	18	18
HNRNPA0	0	18	18	18
HSD17B4	0	18	18	18
HSPA4	0	18	18	18
HSPA9	0	18	18	18
HTR4	0	18	18	18
IGIP	0	18	18	18
IK	0	18	18	18
IL13	0	18	18	18
IL17B	0	18	18	18
IL3	0	18	18	18
IL4	0	18	18	18
IL5	0	18	18	18
IL9	0	18	18	18
IRF1	0	18	18	18
IRGM	0	18	18	18
ISOC1	0	18	18	18
JAKMIP2	0	18	18	18
KCNN2	0	18	18	18
KCTD16	0	18	18	18
KDM3B	0	18	18	18
KIAA0141	0	18	18	18
KIAA1024L	0	18	18	18
KIF20A	0	18	18	18
KIF3A	0	18	18	18
KIF4B	0	18	18	18
KLHL3	0	18	18	18
LARP1	0	18	18	18
LARS	0	18	18	18
LEAP2	0	18	18	18
LECT2	0	18	18	18
LMNB1	0	18	18	18
LOX	0	18	18	18
LRRTM2	0	18	18	18
LYRM7	0	18	18	18
MARCH3	0	18	18	18
MATR3	0	18	18	18
MCC	0	18	18	18
MEGF10	0	18	18	18
MFAP3	0	18	18	18
MIR1294	0	18	18	18
MIR1303	0	18	18	18
MIR143	0	18	18	18
MIR143HG	0	18	18	18
MIR145	0	18	18	18
MIR3141	0	18	18	18
MIR3655	0	18	18	18
MIR3661	0	18	18	18
MIR378A	0	18	18	18
MIR378H	0	18	18	18
MIR3936	0	18	18	18
MIR4460	0	18	18	18
MIR4633	0	18	18	18
MIR5197	0	18	18	18
MIR5692C1	0	18	18	18
MIR5706	0	18	18	18
MIR584	0	18	18	18
MIR874	0	18	18	18
MRPL22	0	18	18	18
MYOT	0	18	18	18
MYOZ3	0	18	18	18
