Tumor_Sample_Barcode	Amp	Del	total
TCGA-AB-2941	0	1898	1898
TCGA-AB-2868	53	1836	1889
TCGA-AB-2829	53	1276	1329
TCGA-AB-2857	0	1262	1262
TCGA-AB-2838	1	1180	1181
TCGA-AB-2813	18	975	993
TCGA-AB-2878	2	975	977
TCGA-AB-2872	0	965	965
TCGA-AB-2886	0	965	965
TCGA-AB-2971	0	965	965
TCGA-AB-2935	18	908	926
TCGA-AB-2938	18	871	889
TCGA-AB-2885	1	808	809
TCGA-AB-2920	0	733	733
TCGA-AB-2939	0	725	725
TCGA-AB-2952	2	721	723
TCGA-AB-2860	18	650	668
TCGA-AB-2908	18	638	656
TCGA-AB-2904	38	595	633
TCGA-AB-2915	0	589	589
TCGA-AB-2849	0	582	582
TCGA-AB-2917	0	505	505
TCGA-AB-2943	3	392	395
TCGA-AB-2811	0	378	378
TCGA-AB-2929	0	329	329
TCGA-AB-2887	18	300	318
TCGA-AB-2954	0	311	311
TCGA-AB-2805	1	300	301
TCGA-AB-2817	0	301	301
TCGA-AB-2874	0	301	301
TCGA-AB-2882	0	301	301
TCGA-AB-2894	0	301	301
TCGA-AB-2923	1	300	301
TCGA-AB-2928	0	301	301
TCGA-AB-2944	0	301	301
TCGA-AB-3007	0	300	300
TCGA-AB-2853	0	297	297
TCGA-AB-2945	0	297	297
TCGA-AB-2855	0	246	246
TCGA-AB-2955	0	218	218
TCGA-AB-2933	0	204	204
TCGA-AB-2809	0	42	42
TCGA-AB-2909	0	42	42
TCGA-AB-2899	0	28	28
TCGA-AB-2946	0	28	28
TCGA-AB-2807	18	0	18
TCGA-AB-2865	18	0	18
TCGA-AB-2883	18	0	18
TCGA-AB-2901	18	0	18
TCGA-AB-2940	18	0	18
TCGA-AB-2968	18	0	18
TCGA-AB-2820	3	14	17
TCGA-AB-3009	0	14	14
TCGA-AB-2921	0	12	12
TCGA-AB-2934	3	0	3
TCGA-AB-2822	2	0	2
TCGA-AB-2830	1	0	1
TCGA-AB-2866	1	0	1
TCGA-AB-2916	1	0	1
TCGA-AB-2948	1	0	1
TCGA-AB-2949	0	1	1
TCGA-AB-2964	1	0	1
TCGA-AB-2970	1	0	1
TCGA-AB-2975	1	0	1
TCGA-AB-2977	1	0	1
TCGA-AB-2983	1	0	1
TCGA-AB-2803	0	0	0
TCGA-AB-2804	0	0	0
TCGA-AB-2806	0	0	0
TCGA-AB-2808	0	0	0
TCGA-AB-2810	0	0	0
TCGA-AB-2812	0	0	0
TCGA-AB-2814	0	0	0
TCGA-AB-2815	0	0	0
TCGA-AB-2816	0	0	0
TCGA-AB-2818	0	0	0
TCGA-AB-2819	0	0	0
TCGA-AB-2821	0	0	0
TCGA-AB-2823	0	0	0
TCGA-AB-2824	0	0	0
TCGA-AB-2825	0	0	0
TCGA-AB-2826	0	0	0
TCGA-AB-2827	0	0	0
TCGA-AB-2828	0	0	0
TCGA-AB-2831	0	0	0
TCGA-AB-2832	0	0	0
TCGA-AB-2834	0	0	0
TCGA-AB-2835	0	0	0
TCGA-AB-2836	0	0	0
TCGA-AB-2837	0	0	0
TCGA-AB-2839	0	0	0
TCGA-AB-2840	0	0	0
TCGA-AB-2841	0	0	0
TCGA-AB-2842	0	0	0
TCGA-AB-2844	0	0	0
TCGA-AB-2845	0	0	0
TCGA-AB-2846	0	0	0
TCGA-AB-2848	0	0	0
TCGA-AB-2850	0	0	0
TCGA-AB-2851	0	0	0
TCGA-AB-2854	0	0	0
TCGA-AB-2856	0	0	0
TCGA-AB-2858	0	0	0
TCGA-AB-2859	0	0	0
TCGA-AB-2861	0	0	0
TCGA-AB-2862	0	0	0
TCGA-AB-2863	0	0	0
TCGA-AB-2864	0	0	0
TCGA-AB-2867	0	0	0
TCGA-AB-2869	0	0	0
TCGA-AB-2870	0	0	0
TCGA-AB-2871	0	0	0
TCGA-AB-2873	0	0	0
TCGA-AB-2875	0	0	0
TCGA-AB-2877	0	0	0
TCGA-AB-2879	0	0	0
TCGA-AB-2880	0	0	0
TCGA-AB-2881	0	0	0
TCGA-AB-2884	0	0	0
TCGA-AB-2888	0	0	0
TCGA-AB-2889	0	0	0
TCGA-AB-2890	0	0	0
TCGA-AB-2892	0	0	0
TCGA-AB-2893	0	0	0
TCGA-AB-2895	0	0	0
TCGA-AB-2896	0	0	0
TCGA-AB-2897	0	0	0
TCGA-AB-2898	0	0	0
TCGA-AB-2900	0	0	0
TCGA-AB-2903	0	0	0
TCGA-AB-2905	0	0	0
TCGA-AB-2906	0	0	0
TCGA-AB-2907	0	0	0
TCGA-AB-2910	0	0	0
TCGA-AB-2911	0	0	0
TCGA-AB-2912	0	0	0
TCGA-AB-2913	0	0	0
TCGA-AB-2914	0	0	0
TCGA-AB-2919	0	0	0
TCGA-AB-2922	0	0	0
TCGA-AB-2924	0	0	0
TCGA-AB-2925	0	0	0
TCGA-AB-2926	0	0	0
TCGA-AB-2927	0	0	0
TCGA-AB-2930	0	0	0
TCGA-AB-2931	0	0	0
TCGA-AB-2932	0	0	0
