Hugo_Symbol	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
IGHV2-70	44	1	0	0	0	45	14	14
IGLV3-1	31	2	0	0	0	33	13	13
IGHM	24	1	0	0	0	25	13	13
BTG2	12	1	0	2	0	15	10	10
PIM1	36	2	0	0	0	38	8	8
IGHG1	22	2	0	1	0	25	8	8
IGLL5	20	1	0	3	1	25	8	8
IGLC2	16	0	0	0	0	16	8	8
CARD11	9	0	0	0	0	9	8	8
IGHG2	18	2	0	0	0	20	7	7
KMT2D	4	4	0	1	0	9	7	7
FAT4	7	1	0	0	0	8	7	7
HIST1H1E	8	0	0	0	0	8	7	7
LRP1B	6	0	0	1	0	7	7	7
MYD88	7	0	0	0	0	7	7	7
IGHV4-34	11	2	0	0	0	13	6	6
P2RY8	8	0	0	0	0	8	6	6
HIST1H1C	7	0	0	0	0	7	6	6
MUC16	7	0	0	0	0	7	6	6
TMSB4X	3	1	0	3	0	7	6	6
PCLO	6	0	0	0	0	6	6	6
IGKV1-5	10	3	0	0	0	13	5	5
B2M	5	0	0	0	2	7	5	5
IGKV4-1	6	0	0	0	0	6	5	5
STAT3	6	0	0	0	0	6	5	5
BTG1	4	1	0	0	0	5	5	5
CD79B	5	0	0	0	0	5	5	5
COL21A1	4	1	0	0	0	5	5	5
KLHL6	5	0	0	0	0	5	5	5
TP53	3	1	0	1	0	5	5	5
UBR4	4	1	0	0	0	5	5	5
ZFHX4	3	1	0	1	0	5	5	5
IGLC3	7	0	0	0	0	7	4	4
IGLV4-60	7	0	0	0	0	7	4	4
IRF4	7	0	0	0	0	7	4	4
SOCS1	6	1	0	0	0	7	4	4
FAT1	5	0	0	1	0	6	4	4
IGHA2	5	0	0	0	0	5	4	4
IGKC	5	0	0	0	0	5	4	4
MPEG1	5	0	0	0	0	5	4	4
PCDH15	4	1	0	0	0	5	4	4
PDE3A	4	1	0	0	0	5	4	4
USH2A	5	0	0	0	0	5	4	4
ACTG1	3	0	0	1	0	4	4	4
ADGRB3	4	0	0	0	0	4	4	4
CD70	0	3	0	0	1	4	4	4
CREBBP	4	0	0	0	0	4	4	4
GABRG3	4	0	0	0	0	4	4	4
ITPKB	3	1	0	0	0	4	4	4
MPDZ	4	0	0	0	0	4	4	4
