Unique_Name	nGenes	nSamples	Variant_Classification	Cytoband	Wide_Peak_Limits	qvalues
AP_2:11q23.3	1	17	Amp	11q23.3	chr11:118341650-118354357	1.145e-08
DP_2:5q31.2	377	18	Del	5q31.2	chr5:112352080-156195999	1.2971e-07
AP_4:21q22.2	18	14	Amp	21q22.2	chr21:39509205-42282190	7.0827e-07
DP_4:7q32.3	299	23	Del	7q32.3	chr7:126055410-159138663	3.4101e-05
DP_10:17q11.2	14	13	Del	17q11.2	chr17:28936804-29722618	0.0003238
DP_3:7p12.1	1	16	Del	7p12.1	chr7:50632522-51004541	0.00078337
DP_8:16q23.1	294	9	Del	16q23.1	chr16:66750041-90354753	0.0010312
DP_6:12p13.2	28	10	Del	12p13.2	chr12:11415451-13714180	0.0023827
DP_1:3p13	42	8	Del	3p13	chr3:64670406-75960297	0.020059
DP_11:18p11.21	12	9	Del	18p11.21	chr18:12273033-13664017	0.020884
AP_1:1p33	2	7	Amp	1p33	chr1:47516423-47533836	0.025106
DP_7:12q21.33	47	3	Del	12q21.33	chr12:88430194-96043393	0.097556
DP_9:17p13.2	203	15	Del	17p13.2	chr17:1-7744654	0.12511
DP_12:20q13.13	288	4	Del	20q13.13	chr20:30824328-55265903	0.14746
AP_3:20q11.21	35	3	Amp	20q11.21	chr20:26197900-30867110	0.18592
DP_5:9q21.32	963	5	Del	9q21.32	chr9:1-141213431	0.24147
